"Verband der privaten Krankenversicherung ","Informationen des Verbandes der Privaten Krankenversicherung (PKV)","http://www.pkv.de/","Frei","Kranken- und Pflegeversicherung >> Verbände, Gremien, Behörden","","","",""
"Destatis","<div class='smaller'>  <p>Seiten des Statistischen Bundesamtes mit Zahlen & Fakten (z.B. tagesaktuellen Statistikdaten), Rechtsgrundlagen, Ansprechpartnern und Links zu nationalen und internationalen Statistikpartnern.</p>  <p>Enthält auch das <a title='Statistisches Jahrbuch' href='https://www.destatis.de/DE/Publikationen/StatistischesJahrbuch/StatistischesJahrbuch.html' target='_blank'>Statistische Jahrbuch der Bundesrepublik Deutschland</a> im Volltext bis zur aktuellen Ausgabe.</p>  </div>","https://www.destatis.de/DE/Startseite.html","Frei","Politik, Wirtschaft, Pädagogik, Psychologie","","","",""
"Knappschaft-Bahn-See","Verbund aus gesetzlicher Rentenversicherung, Renten-Zusatzversicherung, Kranken- und Pflegeversicherung, der Seemannskasse und einem eigenen Medizinischen Netz","http://www.kbs.de/DE/00_ueber_uns/ueberuns_node.html","Frei","Kranken- und Pflegeversicherung >> Krankenkassen","Kranken- und Pflegeversicherung >> Andere Sozialversicherungsträger","","",""
"Versorgungsanstalt des Bundes und der Länder - VBL","","http://www.vbl.de/de/","Frei","Kranken- und Pflegeversicherung >> Verbände, Gremien, Behörden","","","",""
"Gesundheit und Lebensmittelsicherheit","Website der Generaldirektion der Europäischen Kommission für Gesundheit und Lebensmittelsicherheit (SANTE)","https://ec.europa.eu/info/departments/health-and-food-safety_de","Frei","Medizin und Gesundheitswissenschaften","","","",""
"IGeL-Monitor zu 'Individuellen Gesundheitsleistungen'","Das Internetportal '<span class='marked'>IGeL</span>-<span class='marked'>Monitor'</span> enthält umfangreiche Informationen zum Thema <span class='marked'>IGeL</span>. Einzelne <span class='marked'>IGeL</span>-Angeboten werden nach wissenschaftlichen Kriterien allgemein verständlich bewertet. Initiator und Auftraggeber des IGeL-Monitors ist der Medizinische Dienst des Spitzenverbandes Bund der Krankenkassen e.V. (MDS). Finanziert wird der MDS vom Spitzenverband der Gesetzlichen Krankenversicherung (GKV-SV).<br />","http://www.igel-monitor.de/index.html","Frei","Medizin und Gesundheitswissenschaften >> Leitlinien, Public Health, Versorgungsforschung","Kranken- und Pflegeversicherung","Medizin und Gesundheitswissenschaften","Medizin und Gesundheitswissenschaften >> Nachschlagewerke",""
"Fahrplan Rhein-Sieg","vrsinfo.de","http://www.vrsinfo.de/","Frei","Allgemeine Suche >> Verkehrsinfos","","","",""
"Recht des Internet","Kommentierte und umfangreiche Linksammlung zu Urheberrecht, Strafrecht, eCommerce etc. rund um das Recht im Internet; Angeboten von der Universitätsbibliothek Mannheim;<br />","http://www.bib.uni-mannheim.de/603.html","Frei","Rechtswissenschaften >> Portale, Suchhilfen","Allgemeine Suche >> Informatik","","",""
"Qualitätsportal für Präventionskurse","<span style='font-size: x-small;'><span style='font-size: x-small;'>  <p>Die Zentrale Prüfstelle Prävention prüft und zertifiziert Präventionskurse nach § 20 Abs. 1 SGB V und vergibt bei erfolgreicher Prüfung das Prüfsiegel 'Deutscher Standard Prävention'.</p>  </span></span>","http://www.zentrale-pruefstelle-praevention.de/admin/","Frei","Kranken- und Pflegeversicherung","","","",""
"Was hab ich?","'Was hab ich?' ist ein Internetportal, über das man medizinische Befunde kostenlos in eine für Laien verständliche Sprache 'übersetzen' lassen kann.","http://washabich.de/","Frei","Medizin und Gesundheitswissenschaften","","","",""
